"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
189907576192;;;;Услуги;"БОПП пакеты с клеевым клапаном";;;;;;;;;OGtpU9aFljoldZnfGctp;;0;0;0;0
489058294852;;;;;"БОПП пакеты с клеевым клапаном - 6х8";;;;10.00;;;размер:6х8;;5FhuHUZo2onzLu66DR1L;189907576192;0;0;0;0
455533073542;;;;;"БОПП пакеты с клеевым клапаном - 12х20";;;;10.00;;;размер:12х20;;fMl6llEMF5UT9Ympay4J;189907576192;0;0;0;0
244369816902;;;;Услуги;"Пакеты ZIP LOCK с бегунком цветные (бирюзовые, розовые, черные)";;;;;;;;"цвет:бирюзовые;розовые;черные";roVy4gBD24GZie9Zb3Xu;;0;0;0;0
773901550902;;;;;"Пакеты ZIP LOCK с бегунком цветные (бирюзовые, розовые, черные) - 15х20";;;;25.00;;;размер:15х20;;HiVAkYAzCVA7IAlDBXOi;244369816902;0;0;0;0
871684584882;;;;;"Пакеты ZIP LOCK с бегунком цветные (бирюзовые, розовые, черные) - 20х25";;;;28.00;;;размер:20х25;;7mNPEn1rPEI1sHGzIlz3;244369816902;0;0;0;0
892776250222;;;;Услуги;Пленка;;;;20.00;;;;;vtUCf3LPJEj5m2hGXmu7;;0;0;0;0
